id,fecha,latitud,longitud,direccion,barrioNombre,altura,fuste,faseVital,estadoFitosanitario,inclinacion,ahuecamiento,problemaDesrames,problemaDescalzado,problemaFustePartido,problemaObjetoExtranio,problemaGrieta,problemaDesequilibrioCopa,manejoInadecuado,intervenciones,distForestalAdecuada,interf,cazuela,levantamientoVereda,observaciones,especieNombre,lugarRelevamientoNombre,tipoLugarNombre
76268,7/19/2018,-31.41729044,-64.16559577,284,Juniors,Entre 4m. y 7m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Brachichito,Posadas 200-300,Calle
76269,7/23/2018,-31.42099937,-64.16538455,626,Juniors,Entre 7m. y 10m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Mantenimiento,TRUE,FALSE,Franja Verde,Leve,,Fresno Americano,Dr Garzón Agulla 600-700,Calle
76270,7/23/2018,-31.42094587,-64.16537214,626,Juniors,Menor a 4m.,"Menor a 0,10m.",Joven,Bueno,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Sin intervenciones,TRUE,FALSE,Franja Verde,No,,Fresno Americano,Dr Garzón Agulla 600-700,Calle
76271,7/23/2018,-31.42090581,-64.16536443,616,Juniors,Entre 4m. y 7m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,Leve,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Fresno Americano,Dr Garzón Agulla 600-700,Calle
76272,7/23/2018,-31.42088264,-64.16535739,/-610,Juniors,Entre 7m. y 10m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Mantenimiento,TRUE,FALSE,Franja Verde,No,esquina zuviria 1390,Fresno Americano,Dr Garzón Agulla 600-700,Calle
76273,7/23/2018,-31.42086003,-64.16535135,/-610,Juniors,Entre 4m. y 7m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,Leve,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,esquina zuviria 1390,Siempre Verde,Dr Garzón Agulla 600-700,Calle
76274,7/23/2018,-31.42083886,-64.16534599,/-610,Juniors,Menor a 4m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,Leve,No,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,esquina zuviria 1390,Siempre Verde,Dr Garzón Agulla 600-700,Calle
76275,7/23/2018,-31.42034789,-64.16747164,594,Juniors,Entre 7m. y 10m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,Leve,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Siempre Verde,Rio Cuarto 500-600,Calle
76276,7/23/2018,-31.42028237,-64.16746058,594,Juniors,Entre 4m. y 7m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,Leve,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Siempre Verde,Rio Cuarto 500-600,Calle
76277,7/23/2018,-31.42020398,-64.16745655,586,Juniors,Entre 4m. y 7m.,"Entre 0,10m. y 0,40m.",Maduro,Bueno,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Siempre Verde,Rio Cuarto 500-600,Calle
